agent-1  | 2026-09-12T01:04:35.551035Z [info     ] detector.change_detected       event_id=5ec10f6d-0bf1-405f-b9e2-7c6010878562 event_type=file_modified path=/watch/latency-ext-073.txt
agent-1  | 2026-09-12T01:04:35.560835Z [info     ] publisher.event_acked          event_id=5ec10f6d-0bf1-405f-b9e2-7c6010878562
agent-1  | 2026-09-12T01:04:35.646851Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=444a06a4-1812-4706-a7f9-7e11870bb045 path=/watch/latency-ext-074.txt
agent-1  | 2026-09-12T01:04:35.650825Z [info     ] publisher.event_published      event_id=444a06a4-1812-4706-a7f9-7e11870bb045
agent-1  | 2026-09-12T01:04:35.652196Z [info     ] detector.change_detected       event_id=444a06a4-1812-4706-a7f9-7e11870bb045 event_type=file_modified path=/watch/latency-ext-074.txt
agent-1  | 2026-09-12T01:04:35.657446Z [info     ] publisher.event_acked          event_id=444a06a4-1812-4706-a7f9-7e11870bb045
agent-1  | 2026-09-12T01:04:35.744721Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=769c869f-63f2-43c3-87bb-611eff304217 path=/watch/latency-ext-075.txt
agent-1  | 2026-09-12T01:04:35.751916Z [info     ] publisher.event_published      event_id=769c869f-63f2-43c3-87bb-611eff304217
agent-1  | 2026-09-12T01:04:35.754456Z [info     ] detector.change_detected       event_id=769c869f-63f2-43c3-87bb-611eff304217 event_type=file_modified path=/watch/latency-ext-075.txt
agent-1  | 2026-09-12T01:04:35.764148Z [info     ] publisher.event_acked          event_id=769c869f-63f2-43c3-87bb-611eff304217
agent-1  | 2026-09-12T01:04:35.848082Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=efd101c6-efec-4684-b528-ebc4ae0a5792 path=/watch/latency-ext-076.txt
agent-1  | 2026-09-12T01:04:35.855100Z [info     ] publisher.event_published      event_id=efd101c6-efec-4684-b528-ebc4ae0a5792
agent-1  | 2026-09-12T01:04:35.857660Z [info     ] detector.change_detected       event_id=efd101c6-efec-4684-b528-ebc4ae0a5792 event_type=file_modified path=/watch/latency-ext-076.txt
agent-1  | 2026-09-12T01:04:35.867562Z [info     ] publisher.event_acked          event_id=efd101c6-efec-4684-b528-ebc4ae0a5792
agent-1  | 2026-09-12T01:04:35.949236Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=4b910d64-efbf-4df1-8529-6ea129e2377d path=/watch/latency-ext-077.txt
